title,release,duration,genres
Bombshell: The Hedy Lamarr Story,2017,89,Biographical Documentaries
Bon Bini Holland,2015,88,Comedies
Bon Cop Bad Cop 2,2017,126,Action & Adventure
Bon Cop Bad Cop,2006,117,Action & Adventure
Boom,2003,109,Action & Adventure
Boone: The Bounty Hunter,2017,86,Action & Adventure
Boonie Bears: The Big Top Secret,2016,99,Animated
Borderline Murder,2011,88,Crime Movies
Boris Becker: Der Spieler,2017,89,Biographical Documentaries
Born Strong,2017,86,Documentaries
Born in China,2016,80,Animal Tales
Born to Be Blue,2015,97,Biographical Dramas
Born to Be Free,2016,74,British Movies
Boss,2013,139,Action & Adventure
Bottom of the World,2017,84,Dramas
Bound by Flesh,2012,91,Biographical Documentaries
Bowie: The Man Who Changed the World,2016,99,British Movies
Boy Bye,2016,86,Comedies
Boy Missing,2016,105,Crime Movies
Boy and the World,2013,80,Adventures
Boyhood,2014,165,Critically-acclaimed Movies
Boys in the Trees,2016,112,20th Century Period Pieces
Boys on the Side,1995,117,Critically-acclaimed Movies
Brad Paisley's Comedy Rodeo,2017,63,Blue-collar Stand-up Comedy
Brahman Naman,2016,96,Comedies
Brain on Fire,2016,89,Biographical Dramas
Brave New Jersey,2016,92,20th Century Period Pieces
Breaking Free,2015,81,Documentaries
Breaking a Monster,2015,93,Critically-acclaimed Movies
Breaking the Cycle,2017,58,Documentaries
Breathe,2014,90,Critically-acclaimed Movies
